0,tipo,bairro,mes,ano,qtd
2010-01,157,GOIÂNIA,Janeiro,2010,25
2010-02,157,GOIÂNIA,Fevereiro,2010,2
2010-03,157,GOIÂNIA,Março,2010,4
2010-04,157,GOIÂNIA,Abril,2010,2
2010-05,157,GOIÂNIA,Maio,2010,1
2010-06,157,GOIÂNIA,Junho,2010,1
2010-07,157,GOIÂNIA,Julho,2010,3
2010-08,157,GOIÂNIA,Agosto,2010,2
2010-09,157,GOIÂNIA,Setembro,2010,4
2010-10,157,GOIÂNIA,Outubro,2010,6
2010-11,157,GOIÂNIA,Novembro,2010,9
2010-12,157,GOIÂNIA,Dezembro,2010,32
2011-01,157,GOIÂNIA,Janeiro,2011,732
2011-02,157,GOIÂNIA,Fevereiro,2011,701
2011-03,157,GOIÂNIA,Março,2011,948
2011-04,157,GOIÂNIA,Abril,2011,1093
2011-05,157,GOIÂNIA,Maio,2011,1101
2011-06,157,GOIÂNIA,Junho,2011,947
2011-07,157,GOIÂNIA,Julho,2011,998
2011-08,157,GOIÂNIA,Agosto,2011,999
2011-09,157,GOIÂNIA,Setembro,2011,873
2011-10,157,GOIÂNIA,Outubro,2011,819
2011-11,157,GOIÂNIA,Novembro,2011,906
2011-12,157,GOIÂNIA,Dezembro,2011,785
2012-01,157,GOIÂNIA,Janeiro,2012,779
2012-02,157,GOIÂNIA,Fevereiro,2012,791
2012-03,157,GOIÂNIA,Março,2012,974
2012-04,157,GOIÂNIA,Abril,2012,979
2012-05,157,GOIÂNIA,Maio,2012,897
2012-06,157,GOIÂNIA,Junho,2012,871
2012-07,157,GOIÂNIA,Julho,2012,569
2012-08,157,GOIÂNIA,Agosto,2012,694
2012-09,157,GOIÂNIA,Setembro,2012,880
2012-10,157,GOIÂNIA,Outubro,2012,890
2012-11,157,GOIÂNIA,Novembro,2012,903
2012-12,157,GOIÂNIA,Dezembro,2012,1124
2013-01,157,GOIÂNIA,Janeiro,2013,1141
2013-02,157,GOIÂNIA,Fevereiro,2013,1122
2013-03,157,GOIÂNIA,Março,2013,1212
2013-04,157,GOIÂNIA,Abril,2013,1265
2013-05,157,GOIÂNIA,Maio,2013,1376
2013-06,157,GOIÂNIA,Junho,2013,1436
2013-07,157,GOIÂNIA,Julho,2013,1116
2013-08,157,GOIÂNIA,Agosto,2013,1150
2013-09,157,GOIÂNIA,Setembro,2013,1148
2013-10,157,GOIÂNIA,Outubro,2013,1062
2013-11,157,GOIÂNIA,Novembro,2013,1108
2013-12,157,GOIÂNIA,Dezembro,2013,1248
2014-01,157,GOIÂNIA,Janeiro,2014,1474
2014-02,157,GOIÂNIA,Fevereiro,2014,1335
2014-03,157,GOIÂNIA,Março,2014,1432
2014-04,157,GOIÂNIA,Abril,2014,1606
2014-05,157,GOIÂNIA,Maio,2014,1669
2014-06,157,GOIÂNIA,Junho,2014,1395
2014-07,157,GOIÂNIA,Julho,2014,1362
2014-08,157,GOIÂNIA,Agosto,2014,1347
2014-09,157,GOIÂNIA,Setembro,2014,1412
2014-10,157,GOIÂNIA,Outubro,2014,1424
2014-11,157,GOIÂNIA,Novembro,2014,1242
2014-12,157,GOIÂNIA,Dezembro,2014,1250
2015-01,157,GOIÂNIA,Janeiro,2015,1332
2015-02,157,GOIÂNIA,Fevereiro,2015,1336
2015-03,157,GOIÂNIA,Março,2015,1587
2015-04,157,GOIÂNIA,Abril,2015,1640
2015-05,157,GOIÂNIA,Maio,2015,1902
2015-06,157,GOIÂNIA,Junho,2015,1766
2015-07,157,GOIÂNIA,Julho,2015,1796
2015-08,157,GOIÂNIA,Agosto,2015,1850
2015-09,157,GOIÂNIA,Setembro,2015,1985
2015-10,157,GOIÂNIA,Outubro,2015,2052
2015-11,157,GOIÂNIA,Novembro,2015,1826
2015-12,157,GOIÂNIA,Dezembro,2015,1945
2016-01,157,GOIÂNIA,Janeiro,2016,2013
2016-02,157,GOIÂNIA,Fevereiro,2016,2023
2016-03,157,GOIÂNIA,Março,2016,1989
2016-04,157,GOIÂNIA,Abril,2016,1865
2016-05,157,GOIÂNIA,Maio,2016,1758
2016-06,157,GOIÂNIA,Junho,2016,2025
2016-07,157,GOIÂNIA,Julho,2016,1893
2016-08,157,GOIÂNIA,Agosto,2016,2065
2016-09,157,GOIÂNIA,Setembro,2016,1861
2016-10,157,GOIÂNIA,Outubro,2016,1990
2016-11,157,GOIÂNIA,Novembro,2016,1748
2016-12,157,GOIÂNIA,Dezembro,2016,1566
2017-01,157,GOIÂNIA,Janeiro,2017,1623
2017-02,157,GOIÂNIA,Fevereiro,2017,1426
2017-03,157,GOIÂNIA,Março,2017,1569
2017-04,157,GOIÂNIA,Abril,2017,1513
2017-05,157,GOIÂNIA,Maio,2017,1692
2017-06,157,GOIÂNIA,Junho,2017,1411
2017-07,157,GOIÂNIA,Julho,2017,1424
2017-08,157,GOIÂNIA,Agosto,2017,1386
2017-09,157,GOIÂNIA,Setembro,2017,1254
2017-10,157,GOIÂNIA,Outubro,2017,1202
2017-11,157,GOIÂNIA,Novembro,2017,1205
2017-12,157,GOIÂNIA,Dezembro,2017,1029
