,qtd
2012-01-01,779
2012-02-01,791
2012-03-01,974
2012-04-01,979
2012-05-01,897
2012-06-01,871
2012-07-01,569
2012-08-01,694
2012-09-01,880
2012-10-01,890
2012-11-01,903
2012-12-01,1124
2013-01-01,1141
2013-02-01,1122
2013-03-01,1212
2013-04-01,1265
2013-05-01,1376
2013-06-01,1436
2013-07-01,1116
2013-08-01,1150
2013-09-01,1148
2013-10-01,1062
2013-11-01,1108
2013-12-01,1248
2014-01-01,1474
2014-02-01,1335
2014-03-01,1432
2014-04-01,1606
2014-05-01,1669
2014-06-01,1395
2014-07-01,1362
2014-08-01,1347
2014-09-01,1412
2014-10-01,1424
2014-11-01,1242
2014-12-01,1250
2015-01-01,1332
2015-02-01,1336
2015-03-01,1587
2015-04-01,1640
2015-05-01,1902
2015-06-01,1766
2015-07-01,1796
2015-08-01,1850
2015-09-01,1985
2015-10-01,2052
2015-11-01,1826
2015-12-01,1945
2016-01-01,2013
2016-02-01,2023
2016-03-01,1989
2016-04-01,1865
2016-05-01,1758
2016-06-01,2025
2016-07-01,1893
2016-08-01,2065
2016-09-01,1861
2016-10-01,1990
2016-11-01,1748
2016-12-01,1566
2017-01-01,1623
2017-02-01,1426
2017-03-01,1569
2017-04-01,1513
2017-05-01,1692
2017-06-01,1411
2017-07-01,1424
2017-08-01,1386
2017-09-01,1254
2017-10-01,1202
2017-11-01,1205
2017-12-01,1029
